file,section,key
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_EnvironmentSettings
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_EventQueueGet
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_FetchInventory
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ObjectMedia
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ObjectMediaNavigate
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_FetchLib
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_FetchLibDescendents
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GetDisplayNames
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GetTexture
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GetMesh
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GetMesh2
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GetAsset
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GetObjectCost
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GetObjectPhysicsData
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GroupProposalBallot
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_GroupMemberData
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_HomeLocation
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_LandResources
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_MapLayer
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_MapLayerGod
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_NewFileAgentInventory
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_NewFileAgentInventoryVariablePrice
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ObjectAdd
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ParcelPropertiesUpdate
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ParcelMediaURLFilterList
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ParcelNavigateMedia
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ParcelVoiceInfoRequest
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ProductInfoRequest
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ProvisionVoiceAccountRequest
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_RemoteParcelRequest
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_RequestTextureDownload
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_SearchStatRequest
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_SearchStatTracking
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_SendPostcard
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_SendUserReport
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_SendUserReportWithScreenshot
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ServerReleaseNotes
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_SimConsole
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_SimulatorFeatures
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_SetDisplayName
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_StartGroupProposal
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_TextureStats
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UntrustedSimulatorMessage
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UpdateAgentInformation
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UpdateAgentLanguage
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UpdateGestureAgentInventory
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UpdateNotecardAgentInventory
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UpdateScriptAgent
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UpdateGestureTaskInventory
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UpdateNotecardTaskInventory
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UpdateScriptTask
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UploadBakedTexture
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_UploadObjectAsset
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ViewerStartAuction
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_ViewerStats
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_WebFetchInventoryDescendents
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_FetchInventoryDescendents2
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_FetchInventory2
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_FetchLib2
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_FetchLibDescendents2
bin/OpenSimDefaults.ini,ClientStack.LindenCaps,Cap_AvatarPickerSearch
bin/OpenSimDefaults.ini,Chat,enabled
bin/OpenSimDefaults.ini,Chat,whisper_distance
bin/OpenSimDefaults.ini,Chat,say_distance
bin/OpenSimDefaults.ini,Chat,shout_distance
bin/OpenSimDefaults.ini,EntityTransfer,AllowAvatarCrossing
bin/OpenSimDefaults.ini,EntityTransfer,DisableObjectTransfer
bin/OpenSimDefaults.ini,EntityTransfer,LevelHGTeleport
